Wordnet name , Name index , is object counts , is part counts , ADE names , Attributes , Has parts , Is part of 
wall,2978,36897,49,wall,"bars, blue, bones, brick, bricks, brown, casement, castle, concrete, divider, glass, green, heather, ice, low, ocher, old, orange, paper, papered, pink, red, rock, rocky, ruins, stone, stones, tile, tiled, under construction, wall, wallpaper, wood, wwod","books, pane, railing, tread, wall","building arena, building, edifice, car, auto, automobile, machine, motorcar, elevator, lift, stairs, steps, wall"
"person, individual, someone, somebody, mortal, soul",1831,26178,0,"people, person","acrobat, adult, arm, baby, baby sitting, background, backwardas, backwards, batter, bending over, boxing, boy, boy batter, boy player, boy sitting, boy standing, bullfighter, cashier, child, child estanding, climbing, clown, cropo, crowd, cycling, cyclist, dancing, digging, diver, diving, down, dressed up, driver, driving, driving bulldozer, fall, fashion model, fireman, girl, girl sitting, girl standing, girl walking, golfer, hands, head, holding baby, holding bag, holding can, holding glass, holding newspaper, holding object, holding pool cue, holding spoon, holding stick, holding tool, horse rider, judge, judoka, jumping, kneeling, knees, leaning against wall, leg, lying, man, man crouched, man dancing, man player, man sitting, man standing, man stnading, man walking, man working, mann sitting, men, men sitting, men standing, model, model walking, payer, photo, pilot, player, player batter, playing, playing flute, playing guitar, reading, riding, rowing, running, scuba diver, sistting, siting, sittig, sitting, sitting men, sitting playing bagpipes, sitting women, sitting∫, siyying, skating, skidding, skier, skiing, sleeping, smiling, soldier, speaing, speaking, squatted, squatting, standig, standing, standking, stnading, stting, sunbathing, swimming, swimmning, throwing ball, torso, waiter, waking, waling, walkin, walking, walkning, wallking, warking, waving, witting, woman, woman  sitting, woman dancing, woman player, woman sitting, woman standing, woman walking, woman working, women, women sitting, working","back, buttocks, ear, eye, gaze, hai, hair, hand, head, left arm, left foot, left hand, left leg, left shoulder, light switch, mouth, neck, right arm, right foot, right hand, right leg, right shoulder, torso",
tree,2855,23309,1,"topiary tree, topiary trees, tree, trees","apple, background, bare, brach, branch, branches, decorative, fallen, foliage, foreground, inclined, leafy, noel, partial, pice, pine, root, roots, tops, truink, trunk, trunks, tunk, yellow","branch, branches, flower, fruit, leaves, sky, taillight, trees, trunk","car, auto, automobile, machine, motorcar"
"building, edifice",312,19263,0,"building, buildings","acropolis, aerial, air traffic control, ancient, apartments, arch, arena, background, booth, bridge, cabin, castle, cathedral, church, control tower, country house, covered walkway, donjon, factory, fort, fortress, gothic, house, industrial, large, monument, mosque, observatory, pagoda, park gate, restaurant, roof, ruin, ruins, sawmill, shelter, skyscraper, stadium, stately home, station, tample, tavern, temple, top, tower, train station, under construction, windmill, ziggurat","arcades, arch, balcony, balustrade, bars, battlement, bell, blades, blind, blinds, box, building, car, ceiling, chimney, column, columns, control tower, cornice, dome, door, door frame, doorbell, doors, dormer, double door, drain pipe, eaves, elevator, entrance, entrance parking, fence, fire bell, fire escape, garage door, garage doors, gate, grille, grille door, gutter, handrail, hip tiles, house number, lattice, metal shutter, metal shutters, pane, pillar, pipe, pipe drain, porch, railing, rain pipe, ramp, revolving door, revolving doors, roof, rose window, sculpture, shop window, shutter, shutters, sidewalk, sign, skylight, stained-glass window, staircase, statue, steeple, step, steps, terrace, terraces, ticket machine, ticket office, ticket window, tower, vane, vent, ventilator, wall, window, window rose, windowpane, window, windows",
chair,471,15471,2,"chair, chairs","back, fabric, foam, foldable, folding, leather, legs, plastic, rocking, stacked, steel stainless symetric central, wicker, wood","apron, arm, back, back pillow, base, foot rest, h-stretcher, leg, legs, monitor, pedestal, rail, seat, seat base, seat cushion, skirt, spindle, stile, stretcher, tube",table
"car, auto, automobile, machine, motorcar",401,15231,0,"car, cars","back, covered in snow, crap, crashed, croop, inside, jeep, jhggbb, land rover, minivan, parked, pickup, pickup truck, picup, police car, scrapping, scraps, sport, suv, taxi, under construction, walking","aerial, antenna, bed, bumper, car, ceiling, door, exhaust pipe, fender, gas cap, ground, handle, headboard, headlight, hood, license plate, logo, mirror, rim, road, roof rack, seat, seats, sidewalk, sign, steering wheel, taillight, tree, wall, wheel, window, window scarf, windowpane, window, windshield, wiper",
"floor, flooring",976,12131,0,floor,"background, balcony, brick, cabinet, capet, carbet, carpe, carpent, carper, carpet, carpeted, carpte, carptet, concrete, exterior, floor, foreground, hardwood, lite, mable, marbel, marble, metal, ood, paquet, parqued, parquet, pavement, paving stone, rocky, sand, stone, tatami, tile, tile wood, tiled, tilee, tile∫, tiling, tilr, tray, wod, woo, wood, wooden",,
"plant, flora, plant life",1910,11814,0,"plant, plants","artificial, background, bed, captus, creeper, dried, dry, fern, ferns, flowering, flowers, grapevine, hanging, hedge, ivy, leafs on stick, leaves, lichen, maze, potted, tulip, tulips, vertical","flower, flowers, leaf, plant",
sky,2420,10710,3,sky,"blue, claudy, clear, cloudy, cloydy, fog, gray, night, overcast, snowy, sunset, sunset/ sunrise, sunset/sunrise, white","cloud, clouds, sky","sky, tree"
"windowpane, window",3055,10579,0,"window, windows","anwing, arch, awning, bay, bow, casament, casement, colonial, diamond, doble hung, double hung, duoble hung, geometric, half moon, hopper, horizontal hung, horizontal slider, jalousie, louvered, picture, round, singe hung, singl hung, single hung, slider, sliding, specia shape, special shape, special shapes, specialty, ssingle hung","casing, casing interior, door, door frame, half moon, handle, head jamb, hinge, interior casing, jamb, lower sash, muntin, pane, plane, rail, sash, sash lock, shutter, side jamb, sill, single hung, slide, sliding door, special shape, stile, upper, upper sash, window, window latch",
"painting, picture",1735,10059,0,"painting, picture","broad sheet, ceramic, class graduation, decor, drawing, map, paainting, paining, painted, paintign, painting, painting crop, paintings, paintng, panting, phot, photo, photo crop, photos, phto, picture, portrait, poster, roppainting, wood","drawing, frame",
ceiling,447,9378,4,ceiling,"balcony, carpet, cathedral, cathedral wood, coffeded, coffered, decorative, dome, exterior, gass, glass, grass, papered, plastic, popcorn, rocky, sloping, sloping wood, stone, stones, tile, tray, treay, wood","beam, sign, skylight","building, edifice, car, auto, automobile, machine, motorcar, double door, elevator, lift"
table,2684,8946,0,"night table, side table, table","accent, conference table, dining, display, glass, on, painted wood, pedestal, round, troller, trolley, wicker, wood","apron, back, base, chair, door, drawer, front, h-stretcher, handle, knob, leg, pedestal, picture, rop, shelf, side, skirt, stretcher, support, top, top support, vase, wheel",
cabinet,350,8694,46,"cabinet, cabinets","antique, bedside, clinical, control, door, food display, glass, painated wood, painted wood, television, wicker, wood","apron, back, background, ball storage, base, basket, bottle rack, column, countertop, dish rack, door, double door, drawer, front, handle, leg, mirror, panel, rail, shelf, shelves, side, skirt, support, top, towel rail, trash can, wheel, work surface","closet, pool table, billiard table, snooker table"
ceiling recessed light,451,7554,3,ceiling recessed light,"accent, diffused, dircect, direc, direct, direct punctual, geeral, geneal, genera, general, generl, generla, genetal, genral, gneral, indirect, l general, lgeneral, of, off, off crop, off direct, on, on direct, punctual, punctual genera, punctual general, puncutal, task, volumetric","aperture, bulb, canopy, highlight, light sosurce, light source, shade","light, light source, top"
"signboard, sign",2380,6231,0,"sign, signs","cone, display, do not enter, electronic, exit, led, neon, one way, partial, pharmacy, rear, stop, street sign, taxi, trunk",statue,
cushion,689,5871,18,cushion,"beige, black, blue, brown, fabric, garnet, gray, green, orange, pink, purple, red, round, smooth, stampinb, stamping, stripes, white, yellow","button, zipper","landfill, seat, sofa, couch, lounge"
book,236,5633,0,"book, books","open, phonebook","books, page, ribbon",
"sidewalk, pavement",2377,5532,0,"sidewalk, sidewalk cafe","plaza, snowy, wet","building, buildings",
"road, route",2131,5498,0,road,"crossing, freeway, snowy, wet","bicycle path, bike path, crosswalk",
"curtain, drape, drapery, mantle, pall",687,5023,0,curtain,"brown, cover, oopaque, opaque, red, scarf, scarft, smooth, stamping, tranlucent, translcent, translucent, transparent, traslucent, valace, valance, valence, walance, white, window scarf",curtain support,
"streetlight, street lamp",2616,4715,0,street light,,"arm, base, column, finial, housing, housing lamp, lamp, lamp housing, pole, post, rainshield, street light",
box,266,4664,4,"box, boxes, tissue box","carton, electricity, eletricity, emergency call, leather, metal, round, wood","button, tissue","building, edifice, clock, landfill"
grass,1125,4436,1,grass,"background, foreground, lawn, lawn∫, wild",statue,
bottle,249,4047,3,"bottle, bottles, soap bottle","ceramic, diffuser, difusor, dispenser, large, perfume, plastic, soap, spray, water","base, cap, label, lid, neck, opening",wine rack
"mountain, mount",1610,3803,0,"mountain, mountains","background, florest, fog, forest, ice, pass, rock, rocky, roky, snowy",,
